2016-01-07 16:00:19, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[27]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_sdk_php/demo/api_01_gateway/BackReceive.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_sdk_php/demo/api_01_gateway/FrontReceive.php&merId=777290058115007&orderId=2016010678646&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160107160019&txnType=01&version=5.0.0 
2016-01-07 16:00:19, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[30]------ 摘要sha1x16 >dfce2bc6466e96ff48bf87e45e0d953380c158c9 
2016-01-07 16:00:19, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[40]------ 签名串为 >SLU5r7jV/xY3Gd/2wK3CBDwyOmu/mZcHm2cPKtGdQht3u4QcekFKLdzDjwNZ8JKOsJpXQ87Sf1ACASPKkpQOvmKjRhe71niyQ3r8Aekeh2gKfdLFkqfOGj4ND7l0jgces4d092ASieWN8w/lIjMEU3wU2xWKaZbkhoaE4NJN2mI= 
2016-01-07 16:00:19, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[45]------ =====签名报文结束====== 
2016-01-07 16:00:42, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[20]------ =====签名报文开始====== 
2016-01-07 16:00:42, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[27]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_sdk_php/demo/api_01_gateway/BackReceive.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_sdk_php/demo/api_01_gateway/FrontReceive.php&merId=777290058115007&orderId=2016010678646&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160107160042&txnType=01&version=5.0.0 
2016-01-07 16:00:42, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[30]------ 摘要sha1x16 >f9b2e57e639bd0cee518a3ba93d3dad9635734f5 
2016-01-07 16:00:42, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[40]------ 签名串为 >hDvAU+cHU8dr1h7Fy+WNAHyubWbjzAnPfu3oeCZBSBmwqbLJsNpQB6BLjz2BZlmqsTMsKU/3sIFZWMbcuixFrVJro1nim2WhlfOw2merCksBZy6cbYlppZ+xgGEm3hOsGskLuVSm/WNbdgA1KdbZaKMEYrAcBQkQdee0wOBUuh0= 
2016-01-07 16:00:42, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[45]------ =====签名报文结束====== 
2016-01-07 16:01:53, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[20]------ =====签名报文开始====== 
2016-01-07 16:01:53, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[27]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_sdk_php/demo/api_01_gateway/BackReceive.php&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_sdk_php/demo/api_01_gateway/FrontReceive.php&merId=777290058115007&orderId=2016010678646&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160107160153&txnType=01&version=5.0.0 
2016-01-07 16:01:53, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[30]------ 摘要sha1x16 >a05e51c5c967e2f03a213097e3872a4a66213c4e 
2016-01-07 16:01:53, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[40]------ 签名串为 >OohFHfwqVKG/xgtOonKSGd+4RQeQEbgjGMlx8Jp/DfVSnSHtWnQTyW+Yxsx3P3ZBajl0Z5s96bzVwXftiysA4RyuROPGXcrTajDfdpLRoW3KSoHHnPvVlXVCEXqfAd4SX+lQhKLAcRuoz7tkB0mjmgFlHX31wux23N/Zu5Padfk= 
2016-01-07 16:01:53, INFO, 127.0.0.1, File[ E:\yaoyigou\packages\jai\contact\src\Http\Controllers\union\secureUtil.php ], Line[45]------ =====签名报文结束====== 
